id,slug,title,sales_area,area
1,area01_shop01,札幌営業所,sales_area01,area01
2,area01_shop02,仙台営業所,sales_area01,area01
3,area01_shop03,仙台ハウスヤード,sales_area01,area01
4,area01_shop04,古川ハウスヤード,sales_area01,area01
5,area01_shop05,名取展示場,sales_area01,area01
6,area01_shop06,盛岡営業所,sales_area01,area01
7,area01_shop07,郡山営業所,sales_area01,area01
8,area01_shop08,浪江出張所,sales_area01,area01
9,area01_shop09,郡山ハウスヤード,sales_area01,area01
10,area02_shop01,新潟営業所,sales_area02,area01
11,area03_shop01,プロマックス事業部本社,sales_area03,area02
12,area03_shop02,東日本ブロックハウスヤード,sales_area03,area02
13,area03_shop03,宇都宮営業所,sales_area03,area02
14,area03_shop04,水戸営業所,sales_area03,area02
15,area03_shop05,水戸ハウスヤード,sales_area03,area02
16,area03_shop06,さいたま営業所,sales_area03,area02
17,area03_shop07,柏ハウスヤード,sales_area03,area02
18,area03_shop08,白岡展示場,sales_area03,area02
19,area03_shop09,市川営業所,sales_area03,area02
20,area03_shop10,千葉ハウスヤード,sales_area03,area02
21,area03_shop11,市原展示場,sales_area03,area02
22,area03_shop12,川崎営業所,sales_area03,area02
23,area03_shop13,横浜営業所,sales_area03,area02
24,area03_shop14,湘南ハウスヤード,sales_area03,area02
25,area03_shop15,相模原営業所,sales_area03,area02
26,area03_shop16,相模原ハウスヤード,sales_area03,area02
27,area03_shop17,多摩営業所,sales_area03,area02
28,area03_shop18,川越ハウスヤード,sales_area03,area02
29,area03_shop19,東松山展示場,sales_area03,area02
30,area04_shop01,名古屋営業所,sales_area04,area03
31,area04_shop02,岐阜ハウスヤード,sales_area04,area03
32,area04_shop04,名古屋南営業所,sales_area04,area03
33,area04_shop05,飛島ハウスヤード,sales_area04,area03
34,area04_shop06,静岡営業所,sales_area04,area03
35,area04_shop07,静岡ハウスヤード,sales_area04,area03
36,area05_shop01,大阪営業所,sales_area05,area04
37,area05_shop02,大阪ハウスヤード,sales_area05,area04
38,area05_shop03,京滋営業所,sales_area05,area04
39,area05_shop04,摂津営業所,sales_area05,area04
40,area05_shop05,大和郡山ハウスヤード,sales_area05,area04
41,area05_shop06,伊丹営業所,sales_area05,area04
42,area05_shop07,神戸営業所,sales_area05,area04
43,area06_shop01,広島営業所,sales_area06,area05
44,area07_shop01,北九州営業所,sales_area07,area07
45,area07_shop02,中間ハウスヤード,sales_area07,area07
46,area07_shop03,福岡営業所,sales_area07,area07
47,area07_shop04,朝倉ハウスヤード,sales_area07,area07
48,area07_shop05,福岡展示場,sales_area07,area07
49,area07_shop06,柳川展示場,sales_area07,area07
50,area07_shop07,久留米展示場,sales_area07,area07
51,area07_shop08,熊本営業所,sales_area07,area07
52,area07_shop09,熊本ハウスヤード,sales_area07,area07
53,area07_shop10,八代展示場,sales_area07,area07
54,area07_shop11,大分営業所,sales_area07,area07
55,area07_shop12,大分ハウスヤード,sales_area07,area07
56,area07_shop13,中津展示場,sales_area07,area07
57,area07_shop14,鹿児島営業所,sales_area07,area07
58,area07_shop15,霧島ハウスヤード,sales_area07,area07
59,area07_shop16,鹿屋展示場,sales_area07,area07
