seq,id,code,name,post_code,address,TEL,FAX,lat,lng,id,slug,title,sales_area,area,pref
2,1,1450021,札幌営業所,003-0872,北海道札幌市白石区米里二条3-4-1,011-874-1300,011-874-1299, 43.07486859999999, 141.4228111,1,area01_shop01,札幌営業所,sales_area01,area01,area01>hokkaido
3,1,1450089,苫小牧ハウスヤード,059-1306,北海道苫小牧市ウトナイ北1-1-4,0144-57-5255,0144-57-5256, 42.6866141, 141.69952179999996,,area01_shop10,苫小牧ハウスヤード,sales_area01,area01,area01>hokkaido
5,2,1450022,仙台営業所,983-0034,宮城県仙台市宮城野区扇町3-9-2 ,022-782-6640,022-782-6641, 38.2604069, 140.94346270000005,2,area01_shop02,仙台営業所,sales_area01,area01,area01>miyagi
7,3,1450048,仙台ハウスヤード,989-2372   ,宮城県亘理郡亘理町逢隈神宮寺袖ケ沢100-1,0223-32-1680,0223-32-1681, 38.0529881, 140.84676719999993,3,area01_shop03,仙台ハウスヤード,sales_area01,area01,area01>miyagi
6,4,1450098,古川ハウスヤード,989-6251,宮城県大崎市古川小野字馬場29-2,-,0229-28-3665, 38.6245639, 140.9831497,4,area01_shop04,古川ハウスヤード,sales_area01,area01,area01>miyagi
8,5,1450069,名取展示場,989-2411,宮城県名取市本郷焼野95-1,-,-, 38.1326377, 140.87686129999997,5,area01_shop05,名取展示場,sales_area01,area01,area01>miyagi
4,6,1450023,盛岡営業所,028-3451,岩手県紫波郡紫波町稲藤太田元7-5 ,019-673-7876,019-673-7877, 39.555786, 141.13033900000005,6,area01_shop06,盛岡営業所,sales_area01,area01,area01>iwate
9,7,1450050,郡山営業所,963-0534 ,福島県郡山市日和田町日向138-8,024-900-9351,024-900-9352, 37.449655, 140.39109610000003,7,area01_shop07,郡山営業所,sales_area01,area01,area01>fukushima
10,8,1450102,浪江出張所,979-1502,福島県双葉郡浪江町藤橋字善明迫44-14,-,0240-35-0399, 37.5039678, 140.9970068,8,area01_shop08,浪江出張所,sales_area01,area01,area01>fukushima
11,9,1450054,郡山ハウスヤード,963-8061,福島県郡山市富久山町福原竹ノ内14-9,-,024-935-4077, 37.4279913, 140.4041456,9,area01_shop09,郡山ハウスヤード,sales_area01,area01,area01>fukushima
13,10,1450068,新潟営業所,950-0922,新潟県新潟市中央区山二ツ705-1,025-257-8021,025-286-8023, 37.8901719, 139.0985399,10,area02_shop01,新潟営業所,sales_area02,area01,area01>niigata
1,11,1450046,プロマックス事業部,103-0027,東京都中央区日本橋3-12-2　朝日ﾋﾞﾙﾁﾞﾝｸﾞ8F,03-3517-3355,03-3517-3356, 35.67857190000001, 139.77434990000006,11,area03_shop01,プロマックス事業部本社,sales_area03,area02,area02>tokyo
12,12,1450084,東日本ブロックハウスヤード,290-0235,千葉県市原市栢橋字谷関670-1,-,0436-50-1737, 35.39104771749505, 140.09360381871033,12,area03_shop02,東日本ブロックハウスヤード,sales_area03,area02,area02>chiba
14,13,1450107,宇都宮営業所,322-0015,栃木県鹿沼市上石川1056-6,0289-72-1621,0289-72-1622, 36.53059739778514, 139.80870348398673,13,area03_shop03,宇都宮営業所,sales_area03,area02,area02>tochigi
15,14,1450058,水戸営業所,309-1716,茨城県笠間市住吉1377-1,0296-71-2205,0296-71-2206, 36.3158396, 140.3261417,14,area03_shop04,水戸営業所,sales_area03,area02,area02>ibaragi
16,15,1450066,水戸ハウスヤード,311-3434,茨城県小美玉市栗又四ケ2548-8,-,0299-26-7770, 36.1811886, 140.3094009,15,area03_shop05,水戸ハウスヤード,sales_area03,area02,area02>ibaragi
17,16,1450024,さいたま営業所,339-0073,埼玉県さいたま市岩槻区上野3-6-7,048-793-0270,048-793-0271, 35.9730939, 139.69953399999997,16,area03_shop06,さいたま営業所,sales_area03,area02,area02>saitama
18,17,1450026,柏ハウスヤード,278-0002,千葉県野田市木野崎1546-1 ,04-7138-3966,04-7138-3967, 35.9576704, 139.90832209999996,17,area03_shop07,柏ハウスヤード,sales_area03,area02,area02>chiba
19,18,1450090,白岡展示場,349-0205,埼玉県白岡市西10-10-16,-,-, 36.0269559, 139.65157679999993,18,area03_shop08,白岡展示場,sales_area03,area02,area02>saitama
20,19,1450027,市川営業所,272-0127,千葉県市川市塩浜2-19,047-307-6151 ,047-307-6152 , 35.6659156, 139.9261176,19,area03_shop09,市川営業所,sales_area03,area02,area02>chiba
